CompanyYear,Operating Revenues (Sales),Total Assets,Total Current Assets,Total Current Liabilities,Equity Capital,Retained Earnings (End of Period),Operating Profit (Loss),Total Liabilities,Total Shareholders' Equity,Net Profit,Iran's GDP,z_score
osveh_1304,2128971.0,3226762.0,2487597.0,1844219.0,250000.0,1066384.0,1101743.0,1885378.0,1341384.0,732514.0,11443030000,2.778588127058592
osveh_1305,2191936.0,3999564.0,3347854.0,2308078.0,250000.0,1361433.0,1096121.0,2363131.0,1636433.0,810049.0,13191562000,2.429405292647881
osveh_1306,2222822.0,4515596.0,3647281.0,2152038.0,250000.0,1541176.0,1104697.0,2215720.0,2299876.0,779743.0,15345033000,2.485042980143558
osveh_1307,2238410.0,4640053.0,3913759.0,2254806.0,750000.0,1508783.0,843695.0,2321934.0,2318119.0,686722.0,17556000000,2.348487119047384
داروپخش_1301,1708426.0,2714824.0,2138723.0,2096269.0,200000.0,314259.0,563433.0,2216650.0,498174.0,266663.0,7342514000,1.707227021430394
داروپخش_1302,18004.0,4212844.0,3437332.0,3063999.0,200000.0,669715.0,1261884.0,3203940.0,1008904.0,611541.0,10001801000,1.469823580303092
داروپخش_1303,2830231.0,4826781.0,3984867.0,3852915.0,400000.0,418949.0,1037255.0,3973119.0,853662.0,294030.0,11551853000,1.649414317799745
داروپخش_1304,3464397.0,5314132.0,4154032.0,4222587.0,500000.0,421185.0,1159736.0,4342947.0,971185.0,377523.0,11443030000,1.733966611563299
داروپخش_1305,3732955.0,5767291.0,4433766.0,4546400.0,500000.0,522117.0,1325907.0,4695174.0,1072117.0,485970.0,13191562000,1.778205050651436
داروپخش_1306,4133405.0,6978650.0,5498012.0,5479255.0,500000.0,642252.0,1457230.0,5786398.0,1192252.0,545135.0,15345033000,1.62675065337005
داروپخش_1307,4898861.0,6774760.0,5356924.0,4564667.0,625000.0,1220087.0,2152288.0,4867173.0,1907587.0,1150335.0,17556000000,2.385065714033991
razak_1301,1013400.0,1436858.0,1288971.0,916413.0,102500.0,381771.0,382712.0,942337.0,494521.0,304974.0,7342514000,2.365612494037236
razak_1302,1639832.0,2219234.0,2081151.0,1314325.0,205000.0,645267.0,786326.0,1348467.0,870767.0,601746.0,10001801000,2.823611278513402
razak_1303,2003918.0,2876044.0,2725943.0,1818810.0,205000.0,787500.0,815195.0,1863044.0,1013000.0,625531.0,11551853000,2.435172128267903
razak_1304,2300062.0,3604127.0,3241083.0,2455946.0,205000.0,874847.0,716687.0,2503780.0,1100347.0,702347.0,11443030000,1.971289438105097
razak_1305,2041426.0,4186740.0,3779542.0,3036118.0,410000.0,647728.0,898266.0,3088012.0,1098728.0,590297.0,13191562000,1.746847442103708
razak_1306,2421593.0,4947325.0,4558888.0,3658002.0,410000.0,778272.0,1011463.0,3718053.0,1229272.0,673794.0,15345033000,1.685462585737189
razak_1307,3171089.0,5011500.0,4642118.0,3199876.0,593000.0,1088110.0,1624192.0,3271090.0,1740410.0,1044138.0,17556000000,2.474573901580301
سینادارو_1301,669528.0,737438.0,593359.0,314640.0,100000.0,291454.0,324428.0,335984.0,401454.0,243452.0,7342514000,3.841300652088175
سینادارو_1302,1149974.0,1417598.0,1205178.0,407781.0,200000.0,561663.0,628641.0,635935.0,781663.0,480209.0,10001801000,4.148727496663331
سینادارو_1303,1365946.0,1595761.0,1332571.0,528557.0,200000.0,612701.0,657041.0,763060.0,832701.0,483767.0,11551853000,3.847920905766753
سینادارو_1304,1602495.0,1995083.0,1513213.0,696229.0,200000.0,836587.0,860966.0,938496.0,1056587.0,643886.0,11443030000,3.84521844902921
سینادارو_1305,1869056.0,2340146.0,1754079.0,729959.0,200000.0,939662.0,992493.0,983260.0,1356886.0,741531.0,13191562000,3.978299315493082
سینادارو_1306,2063415.0,3332359.0,2330189.0,1805221.0,400000.0,1019773.0,1082011.0,1872586.0,1459773.0,800111.0,15345033000,2.748365275705326
سینادارو_1307,2600454.0,4121000.0,2370466.0,2466606.0,400000.0,1123228.0,1286277.0,2557772.0,1563228.0,885056.0,17556000000,2.539362785117304
zahravi_1301,1088817.0,1269302.0,1040147.0,920767.0,80000.0,243019.0,342898.0,938283.0,331019.0,215888.0,7342514000,2.308668969790764
zahravi_1302,2057181.0,2718998.0,2401075.0,2002917.0,80000.0,612906.0,950441.0,2018092.0,700906.0,555370.0,10001801000,2.470984035998017
zahravi_1303,2743928.0,3152943.0,2822170.0,2336791.0,80000.0,713879.0,1075873.0,2351064.0,801879.0,540973.0,11551853000,2.549651660868291
zahravi_1304,3045147.0,4292564.0,3879486.0,3409719.0,80000.0,604034.0,1111991.0,3424530.0,868034.0,546155.0,11443030000,1.936380262000547
zahravi_1305,2909497.0,6323508.0,5828885.0,5329961.0,240000.0,138807.0,790115.0,5353114.0,970394.0,38422.0,13191562000,1.057953304150699
zahravi_1306,2729676.0,5501196.0,5147515.0,6231113.0,240000.0,-1017100.0,346265.0,6254296.0,-753100.0,-603907.0,15345033000,0.4249042755710928
zahravi_1307,2068463.0,6473433.0,3879909.0,4871933.0,2504000.0,-1487320.0,599711.0,5432753.0,1040680.0,-442728.0,17556000000,0.8959271633836864
exir_1301,1897108.0,2158597.0,1969597.0,1809187.0,150000.0,168860.0,460192.0,1824717.0,333880.0,173215.0,7342514000,1.886022790036546
exir_1302,3546806.0,3584622.0,3343658.0,2965901.0,150000.0,441327.0,847460.0,2978295.0,606327.0,392447.0,10001801000,2.114858990446065
